dim_is_requested,ds_night,id_listing_anon,id_user_anon,m_effective_daily_price,m_pricing_cleaning_fee,dim_market,dim_lat,dim_lng,dim_room_type,dim_person_capacity,dim_is_instant_bookable,m_checkouts,m_reviews,days_since_last_booking,cancel_policy,image_quality_score,m_total_overall_rating,m_professional_pictures,dim_has_wireless_internet,ds_night_day_of_week,ds_night_day_of_year,ds_checkin_gap,ds_checkout_gap,occ_occupancy_plus_minus_7_ds_night,occ_occupancy_plus_minus_14_ds_night,occ_occupancy_trailing_90_ds,m_minimum_nights,m_maximum_nights,price_booked_most_recent,listing_m_listing_views_2_6_ds_night_decay,general_market_m_unique_searchers_0_6_ds_night,general_market_m_contacts_0_6_ds_night,general_market_m_reservation_requests_0_6_ds_night,m_available_listings_ds_night,list_count
FALSE,7/2/15,586ecd33-858e-4978-9971-5c1463f1f838,a9134b40-23fc-4318-921b-07f689997cfb,130,80,Los Angeles,34.149475,-118.14725,Entire home/apt,3,FALSE,1,1,60,5,0.113302,5,0,1,4,183,4,2,0.416666667,0.631578947,0,10,365,107,0,1833.714286,404.2857143,62.28571429,8676,1
FALSE,7/3/15,652cff9e-3b1d-4975-bc31-41d954032417,29f866b9-5237-4a91-ab7f-0b4dabb873c9,154.2665733,11.2180481,Paris,48.93276,2.207399,Entire home/apt,1,FALSE,0,0,NA,3,0.546619,0,0,0,5,184,7,7,0,0,0,2,7,NA,0,2542,666.4285714,150.2857143,21544,1
TRUE,7/6/15,3ef20f78-802e-4ef0-8213-d37ba0c7050f,6e982840-fda0-4723-a66e-b119c2b8d07d,63.33333333,0,Paris,48.829887,2.36672,Private room,2,FALSE,13,10,22,3,0.487966,42,0,0,1,187,5,7,0,0,0.206349206,1,1125,64,0,2471.142857,656.5714286,142.8571429,22228,1
FALSE,7/3/15,33fc3f80-aad0-4578-9ab4-6b0ed004dcbb,e65f3dce-6169-405f-ba98-128123ac9f7d,99.17136854,0,Paris,48.889484,2.322491,Entire home/apt,2,FALSE,0,0,NA,5,0.546083,0,0,1,5,184,7,7,0,0,0,5,14,NA,0,2542,666.4285714,150.2857143,21544,1
TRUE,7/5/15,fa3e6ffc-1b9e-4bd8-95bc-fb4a376ad873,657f76e5-1fc3-4301-bf89-f7464fcabd81,90.1645875,50.67082499,Paris,48.894108,2.345146,Entire home/apt,4,FALSE,13,8,5,4,0.992708,39,18,1,0,186,3,7,0.214285714,0.269230769,0.385714286,2,1125,88,0.333333333,2426.428571,680.4285714,139.7142857,22177,1
FALSE,7/7/15,543cfc02-156d-49e4-9780-c0d23ebdce0e,cb4bbe27-732c-43b0-8ab3-002eed42e3c9,44.45457042,0,Paris,48.894493,2.341204,Entire home/apt,2,FALSE,2,2,328,5,0.93616,8,0,1,2,188,7,7,0,0,0,30,30,46,0,2447.428571,770.4285714,160.1428571,22289,2
FALSE,7/7/15,ab1f5b6c-8777-4cb5-9442-91512db52f93,0c4370b3-37cd-4c86-b6b3-e1af7a631a34,120.6217347,54.63478851,Paris,48.857803,2.368653,Entire home/apt,2,FALSE,17,11,19,4,0.233196,55,0,0,2,188,7,7,0,0.148148148,0.666666667,3,365,124,0,2447.428571,770.4285714,160.1428571,22289,1
FALSE,7/4/15,dde68666-f6cc-41db-83a1-cc86b1fcbc3d,e9e1b653-03af-4480-8285-e2d34d30005d,150,15,Los Angeles,33.987576,-118.455,Shared room,3,FALSE,5,1,30,3,0.896351,2,0,1,6,185,7,7,0,0,0.174418605,1,1125,62,0,2104.857143,467.1428571,79.42857143,8337,1
FALSE,7/7/15,1f1d62a5-1b0f-45b8-9239-130ec080802a,e2acefa5-4cac-4c4d-bccd-2fa3752aa23a,80,20,Los Angeles,34.058918,-118.358315,Private room,1,FALSE,78,53,11,3,0.947487,223,20,1,2,188,7,7,0,0,0.425,2,7,65,0,1768.428571,448.1428571,62.71428571,8965,1
FALSE,7/4/15,7c4fc7c5-fc32-4857-a84e-300ff7e1a600,6c0c481b-889d-4e76-b6b5-512fccd66a1f,72.68091868,22.43609619,Paris,48.833405,2.330356,Entire home/apt,2,FALSE,5,4,26,4,0.34181,18,12,1,6,185,7,7,0,0,0.2,1,10,55,0.266666667,2643.285714,692.2857143,156.1428571,22088,1
